col,sky,wavelength
1185,1.06,10730.2
1186,0.794,10728.777
1187,0.742,10727.354
1188,0.776,10725.931
1189,0.841,10724.509
1190,0.861,10723.086
1191,0.808,10721.663
1192,0.737,10720.24
1193,0.772,10718.817
1194,0.753,10717.394
1195,0.843,10715.971
1196,1.01,10714.549
1197,1.02,10713.126
1198,0.804,10711.703
1199,0.697,10710.28
1200,0.726,10708.856
1201,0.811,10707.433
1202,0.778,10706.01
1203,0.824,10704.587
1204,0.802,10703.164
1205,0.812,10701.741
1206,0.825,10700.317
1207,0.772,10698.894
1208,0.683,10697.471
1209,0.737,10696.048
1210,0.749,10694.625
1211,0.76,10693.202
1212,0.781,10691.778
1213,0.795,10690.355
1214,0.766,10688.931
1215,0.741,10687.508
1216,0.748,10686.085
1217,0.714,10684.662
1218,0.695,10683.238
1219,0.695,10681.814
1220,0.731,10680.391
1221,0.72,10678.967
1222,0.693,10677.544
1223,0.69,10676.121
1224,0.726,10674.697
1225,0.708,10673.273
1226,0.71,10671.85
1227,0.709,10670.426
1228,0.74,10669.003
1229,0.731,10667.579
1230,0.718,10666.155
1231,0.692,10664.731
1232,0.699,10663.308
1233,0.719,10661.884
1234,0.729,10660.46
1235,0.709,10659.037
1236,0.7,10657.613
1237,0.742,10656.189
1238,0.748,10654.765
1239,0.682,10653.341
1240,0.71,10651.917
1241,0.688,10650.493
1242,0.671,10649.069
1243,0.682,10647.646
1244,0.683,10646.222
1245,0.711,10644.798
